列車ID,種別ID,行先,駅ID,着時刻,発時刻
JN0722,NOR,川崎,JN14,7:27,7:28
JN0722,NOR,川崎,JN13,7:29,7:30
JN0722,NOR,川崎,JN12,7:31,7:32
JN0722,NOR,川崎,JN11,7:33,7:34
JN0722,NOR,川崎,JN10,7:36,7:36
JN0722,NOR,川崎,JN09,7:39,7:39
JN0722,NOR,川崎,JN08,7:42,7:42
JN0722,NOR,川崎,JN07,7:45,---
JN0725,NOR,川崎,JN16,---,7:25
JN0725,NOR,川崎,JN15,7:27,7:28
JN0725,NOR,川崎,JN14,7:30,7:31
JN0725,NOR,川崎,JN13,7:32,7:33
JN0725,NOR,川崎,JN12,7:34,7:35
JN0725,NOR,川崎,JN11,7:36,7:37
JN0725,NOR,川崎,JN10,7:39,7:39
JN0725,NOR,川崎,JN09,7:42,7:42
JN0725,NOR,川崎,JN08,7:45,7:45
JN0725,NOR,川崎,JN07,7:47,---
TY0638,ALL,元町・中華街,TY11,---,6:38
TY0638,ALL,元町・中華街,TY12,6:39,6:40
TY0638,ALL,元町・中華街,TY13,6:42,6:42
TY0638,ALL,元町・中華街,TY14,6:44,6:44
TY0638,ALL,元町・中華街,TY15,6:46,6:47
TY0638,ALL,元町・中華街,TY16,6:49,6:52
TY0638,ALL,元町・中華街,TY17,6:54,6:54
TY0638,ALL,元町・中華街,TY18,6:56,6:56
TY0638,ALL,元町・中華街,TY19,6:57,6:58
TY0638,ALL,元町・中華街,TY20,6:59,7:00
TY0638,ALL,元町・中華街,TY21,7:01,---
TY0638,ALL,元町・中華街,MM01,---,7:02
TY0638,ALL,元町・中華街,MM02,7:03,7:03
TY0638,ALL,元町・中華街,MM03,7:04,---
TY0641,EXP,元町・中華街,TY11,---,6:41
TY0641,EXP,元町・中華街,TY13,6:44,6:45
TY0641,EXP,元町・中華街,TY14,6:47,6:47
TY0641,EXP,元町・中華街,TY16,6:50,6:50
TY0641,EXP,元町・中華街,TY21,6:56,---
TY0641,EXP,元町・中華街,MM01,---,6:59
TY0641,EXP,元町・中華街,MM03,7:01,---
TY0645,ALL,元町・中華街,TY11,---,6:45
TY0645,ALL,元町・中華街,TY12,6:47,6:47
TY0645,ALL,元町・中華街,TY13,6:49,6:50
TY0645,ALL,元町・中華街,TY14,6:52,6:53
TY0645,ALL,元町・中華街,TY15,6:55,6:55
TY0645,ALL,元町・中華街,TY16,6:57,7:00
TY0645,ALL,元町・中華街,TY17,7:03,7:03
TY0645,ALL,元町・中華街,TY18,7:05,7:05
TY0645,ALL,元町・中華街,TY19,7:06,7:06
TY0645,ALL,元町・中華街,TY20,7:08,7:08
TY0645,ALL,元町・中華街,TY21,7:10,---
TY0645,ALL,元町・中華街,MM01,---,7:10
TY0645,ALL,元町・中華街,MM02,7:12,7:12
TY0645,ALL,元町・中華街,MM03,7:13,---
TY0652,ALL,元町・中華街,TY11,---,6:52
TY0652,ALL,元町・中華街,TY12,6:53,6:54
TY0652,ALL,元町・中華街,TY13,6:55,6:56
TY0652,ALL,元町・中華街,TY14,6:58,6:58
TY0652,ALL,元町・中華街,TY15,7:01,7:01
TY0652,ALL,元町・中華街,TY16,7:03,7:06
TY0652,ALL,元町・中華街,TY17,7:09,7:09
TY0652,ALL,元町・中華街,TY18,7:11,7:11
TY0652,ALL,元町・中華街,TY19,7:13,7:13
TY0652,ALL,元町・中華街,TY20,7:14,7:14
TY0652,ALL,元町・中華街,TY21,7:16,---
TY0652,ALL,元町・中華街,MM01,---,7:16
TY0652,ALL,元町・中華街,MM02,7:18,7:18
TY0652,ALL,元町・中華街,MM03,7:19,---
TY0655,EXP,元町・中華街,TY11,---,6:55
TY0655,EXP,元町・中華街,TY13,6:58,6:59
TY0655,EXP,元町・中華街,TY14,7:01,7:01
TY0655,EXP,元町・中華街,TY16,7:04,7:05
TY0655,EXP,元町・中華街,TY21,7:11,---
TY0655,EXP,元町・中華街,MM01,---,7:13
TY0655,EXP,元町・中華街,MM03,7:15,---
TY0659,ALL,元町・中華街,TY11,---,6:59
TY0659,ALL,元町・中華街,TY12,7:01,7:02
TY0659,ALL,元町・中華街,TY13,7:03,7:05
TY0659,ALL,元町・中華街,TY14,7:07,7:07
TY0659,ALL,元町・中華街,TY15,7:09,7:09
TY0659,ALL,元町・中華街,TY16,7:11,7:14
TY0659,ALL,元町・中華街,TY17,7:17,7:17
TY0659,ALL,元町・中華街,TY18,7:19,7:19
TY0659,ALL,元町・中華街,TY19,7:20,7:20
TY0659,ALL,元町・中華街,TY20,7:22,7:22
TY0659,ALL,元町・中華街,TY21,7:24,---
TY0659,ALL,元町・中華街,MM01,---,7:24
TY0659,ALL,元町・中華街,MM02,7:26,7:26
TY0659,ALL,元町・中華街,MM03,7:27,---
TY0706,ALL,元町・中華街,TY11,---,7:06
TY0706,ALL,元町・中華街,TY12,7:08,7:08
TY0706,ALL,元町・中華街,TY13,7:10,7:10
TY0706,ALL,元町・中華街,TY14,7:12,7:13
TY0706,ALL,元町・中華街,TY15,7:15,7:15
TY0706,ALL,元町・中華街,TY16,7:17,7:21
TY0706,ALL,元町・中華街,TY17,7:23,7:23
TY0706,ALL,元町・中華街,TY18,7:25,7:25
TY0706,ALL,元町・中華街,TY19,7:27,7:27
TY0706,ALL,元町・中華街,TY20,7:29,7:29
TY0706,ALL,元町・中華街,TY21,7:30,---
TY0706,ALL,元町・中華街,MM01,---,7:31
TY0706,ALL,元町・中華街,MM02,7:33,7:33
TY0706,ALL,元町・中華街,MM03,7:34,---
TY0710,EXP,元町・中華街,TY11,---,7:10
TY0710,EXP,元町・中華街,TY13,7:13,7:13
TY0710,EXP,元町・中華街,TY14,7:15,7:16
TY0710,EXP,元町・中華街,TY16,7:19,7:20
TY0710,EXP,元町・中華街,TY21,7:26,---
TY0710,EXP,元町・中華街,MM01,---,7:28
TY0710,EXP,元町・中華街,MM03,7:30,---
